Activity ID,Activity Name,WBS Category,Predecessors,Duration (days),Relationship,Role(s),Resource Equipment Required
A1,Conduct Site Surveys,1.1.1 Site Assessment,-,10,-,Surveyor(s),"GPS equipment, surveying instruments (total station, levels), maps, site access permits, safety gear."
A2,Analyze Soil Conditions,1.1.1 Site Assessment,A1,7,FS,"Geotechnical Engineer(s), Lab Technician(s)","Soil testing equipment (e.g., penetrometer, shear vane), sampling tools, laboratory equipment for soil analysis."
A3,Evaluate Environmental Factors,1.1.1 Site Assessment,A1,7,FS,Environmental Scientist(s),"Environmental monitoring equipment (e.g., water quality testers, air quality monitors), sampling containers, data logging tools."
B1,Develop Conceptual Master Plan,1.1.2 Master Plan Development,"A2, A3",14,FS,"Urban Planner(s), Architect(s), Civil Engineer(s)","CAD software, GIS software, drafting tools, presentation materials."
B2,Incorporate Sustainability Principles,1.1.2 Master Plan Development,B1,10,FS,"Sustainability Consultant(s), Environmental Engineer(s)","Sustainability assessment tools, relevant guidelines and standards documents."
B3,Design Transportation System,1.1.2 Master Plan Development,B1,14,FS,"Transportation Engineer(s), Urban Planner(s)","Transportation planning software, CAD software, traffic analysis tools."
C1,Estimate Energy Demand,1.1.3 Energy/Water Demand Estimation,B2,7,FS,Energy Engineer(s),"Energy modeling software, historical energy consumption data."
C2,Estimate Water Demand,1.1.3 Energy/Water Demand Estimation,B2,7,FS,Water Resource Engineer(s),"Water demand projection methodologies, historical water consumption data."
C3,Evaluate Renewable Energy Options,1.1.3 Energy/Water Demand Estimation,B2,7,FS,"Renewable Energy Specialist(s), Energy Engineer(s)","Renewable energy resource assessment data, feasibility study templates."
D1,Conduct Technical Feasibility Analysis,1.1.4 Feasibility Study,"C1, C2, C3",10,FS,"Civil Engineer(s), Structural Engineer(s), MEP Engineer(s)","Engineering analysis software, relevant codes and standards."
D2,Conduct Economic Feasibility Analysis,1.1.4 Feasibility Study,"C1, C2, C3",10,FS,"Economist(s), Financial Analyst(s)","Financial modeling software, cost data, market analysis reports."
D3,Conduct Environmental Impact Assessment,1.1.4 Feasibility Study,"C1, C2, C3",10,FS,"Environmental Scientist(s), Ecologist(s)","EIA guidelines, environmental data, mapping software."
E1,Clear and Grub Site,1.2.1 Earthworks and Foundations,"D1, D2, D3",7,FS,"Heavy Equipment Operator(s), Laborer(s)","Bulldozer, excavator, clearing equipment, trucks, safety equipment."
E2,Grade Site,1.2.1 Earthworks and Foundations,E1,10,FS,"Heavy Equipment Operator(s), Surveyor(s)","Grader, bulldozer, leveling equipment, surveying instruments."
